WKT;no
POLYGON ((122 45.3333333333333,122 46,123 46,123 45.3333333333333,122 45.3333333333333));6822
POLYGON ((123 45.3333333333333,123 46,124 46,124 45.3333333333333,123 45.3333333333333));6823
POLYGON ((124 45.3333333333333,124 46,125 46,125 45.3333333333333,124 45.3333333333333));6824
POLYGON ((125 45.3333333333333,125 46,126 46,126 45.3333333333333,125 45.3333333333333));6825
POLYGON ((126 45.3333333333333,126 46,127 46,127 45.3333333333333,126 45.3333333333333));6826
POLYGON ((127 45.3333333333333,127 46,128 46,128 45.3333333333333,127 45.3333333333333));6827
POLYGON ((128 45.3333333333333,128 46,129 46,129 45.3333333333333,128 45.3333333333333));6828
POLYGON ((129 45.3333333333333,129 46,130 46,130 45.3333333333333,129 45.3333333333333));6829
POLYGON ((130 45.3333333333333,130 46,131 46,131 45.3333333333333,130 45.3333333333333));6830
POLYGON ((131 45.3333333333333,131 46,132 46,132 45.3333333333333,131 45.3333333333333));6831
POLYGON ((132 45.3333333333333,132 46,133 46,133 45.3333333333333,132 45.3333333333333));6832
POLYGON ((133 45.3333333333333,133 46,134 46,134 45.3333333333333,133 45.3333333333333));6833
POLYGON ((134 45.3333333333333,134 46,135 46,135 45.3333333333333,134 45.3333333333333));6834
POLYGON ((135 45.3333333333333,135 46,136 46,136 45.3333333333333,135 45.3333333333333));6835
POLYGON ((136 45.3333333333333,136 46,137 46,137 45.3333333333333,136 45.3333333333333));6836
POLYGON ((137 45.3333333333333,137 46,138 46,138 45.3333333333333,137 45.3333333333333));6837
POLYGON ((138 45.3333333333333,138 46,139 46,139 45.3333333333333,138 45.3333333333333));6838
POLYGON ((139 45.3333333333333,139 46,140 46,140 45.3333333333333,139 45.3333333333333));6839
POLYGON ((140 45.3333333333333,140 46,141 46,141 45.3333333333333,140 45.3333333333333));6840
POLYGON ((141 45.3333333333333,141 46,142 46,142 45.3333333333333,141 45.3333333333333));6841
POLYGON ((142 45.3333333333333,142 46,143 46,143 45.3333333333333,142 45.3333333333333));6842
POLYGON ((143 45.3333333333333,143 46,144 46,144 45.3333333333333,143 45.3333333333333));6843
POLYGON ((144 45.3333333333333,144 46,145 46,145 45.3333333333333,144 45.3333333333333));6844
POLYGON ((145 45.3333333333333,145 46,146 46,146 45.3333333333333,145 45.3333333333333));6845
POLYGON ((146 45.3333333333333,146 46,147 46,147 45.3333333333333,146 45.3333333333333));6846
POLYGON ((147 45.3333333333333,147 46,148 46,148 45.3333333333333,147 45.3333333333333));6847
POLYGON ((148 45.3333333333333,148 46,149 46,149 45.3333333333333,148 45.3333333333333));6848
POLYGON ((149 45.3333333333333,149 46,150 46,150 45.3333333333333,149 45.3333333333333));6849
POLYGON ((150 45.3333333333333,150 46,151 46,151 45.3333333333333,150 45.3333333333333));6850
POLYGON ((151 45.3333333333333,151 46,152 46,152 45.3333333333333,151 45.3333333333333));6851
POLYGON ((152 45.3333333333333,152 46,153 46,153 45.3333333333333,152 45.3333333333333));6852
POLYGON ((153 45.3333333333333,153 46,154 46,154 45.3333333333333,153 45.3333333333333));6853
POLYGON ((154 45.3333333333333,154 46,,,154 45.3333333333333));6854
POLYGON ((122 44.6666666666667,122 45.3333333333333,123 45.3333333333333,123 44.6666666666667,122 44.6666666666667));6722
POLYGON ((123 44.6666666666667,123 45.3333333333333,124 45.3333333333333,124 44.6666666666667,123 44.6666666666667));6723
POLYGON ((124 44.6666666666667,124 45.3333333333333,125 45.3333333333333,125 44.6666666666667,124 44.6666666666667));6724
POLYGON ((125 44.6666666666667,125 45.3333333333333,126 45.3333333333333,126 44.6666666666667,125 44.6666666666667));6725
POLYGON ((126 44.6666666666667,126 45.3333333333333,127 45.3333333333333,127 44.6666666666667,126 44.6666666666667));6726
POLYGON ((127 44.6666666666667,127 45.3333333333333,128 45.3333333333333,128 44.6666666666667,127 44.6666666666667));6727
POLYGON ((128 44.6666666666667,128 45.3333333333333,129 45.3333333333333,129 44.6666666666667,128 44.6666666666667));6728
POLYGON ((129 44.6666666666667,129 45.3333333333333,130 45.3333333333333,130 44.6666666666667,129 44.6666666666667));6729
POLYGON ((130 44.6666666666667,130 45.3333333333333,131 45.3333333333333,131 44.6666666666667,130 44.6666666666667));6730
POLYGON ((131 44.6666666666667,131 45.3333333333333,132 45.3333333333333,132 44.6666666666667,131 44.6666666666667));6731
POLYGON ((132 44.6666666666667,132 45.3333333333333,133 45.3333333333333,133 44.6666666666667,132 44.6666666666667));6732
POLYGON ((133 44.6666666666667,133 45.3333333333333,134 45.3333333333333,134 44.6666666666667,133 44.6666666666667));6733
POLYGON ((134 44.6666666666667,134 45.3333333333333,135 45.3333333333333,135 44.6666666666667,134 44.6666666666667));6734
POLYGON ((135 44.6666666666667,135 45.3333333333333,136 45.3333333333333,136 44.6666666666667,135 44.6666666666667));6735
POLYGON ((136 44.6666666666667,136 45.3333333333333,137 45.3333333333333,137 44.6666666666667,136 44.6666666666667));6736
POLYGON ((137 44.6666666666667,137 45.3333333333333,138 45.3333333333333,138 44.6666666666667,137 44.6666666666667));6737
POLYGON ((138 44.6666666666667,138 45.3333333333333,139 45.3333333333333,139 44.6666666666667,138 44.6666666666667));6738
POLYGON ((139 44.6666666666667,139 45.3333333333333,140 45.3333333333333,140 44.6666666666667,139 44.6666666666667));6739
POLYGON ((140 44.6666666666667,140 45.3333333333333,141 45.3333333333333,141 44.6666666666667,140 44.6666666666667));6740
POLYGON ((141 44.6666666666667,141 45.3333333333333,142 45.3333333333333,142 44.6666666666667,141 44.6666666666667));6741
POLYGON ((142 44.6666666666667,142 45.3333333333333,143 45.3333333333333,143 44.6666666666667,142 44.6666666666667));6742
POLYGON ((143 44.6666666666667,143 45.3333333333333,144 45.3333333333333,144 44.6666666666667,143 44.6666666666667));6743
POLYGON ((144 44.6666666666667,144 45.3333333333333,145 45.3333333333333,145 44.6666666666667,144 44.6666666666667));6744
POLYGON ((145 44.6666666666667,145 45.3333333333333,146 45.3333333333333,146 44.6666666666667,145 44.6666666666667));6745
POLYGON ((146 44.6666666666667,146 45.3333333333333,147 45.3333333333333,147 44.6666666666667,146 44.6666666666667));6746
POLYGON ((147 44.6666666666667,147 45.3333333333333,148 45.3333333333333,148 44.6666666666667,147 44.6666666666667));6747
POLYGON ((148 44.6666666666667,148 45.3333333333333,149 45.3333333333333,149 44.6666666666667,148 44.6666666666667));6748
POLYGON ((149 44.6666666666667,149 45.3333333333333,150 45.3333333333333,150 44.6666666666667,149 44.6666666666667));6749
POLYGON ((150 44.6666666666667,150 45.3333333333333,151 45.3333333333333,151 44.6666666666667,150 44.6666666666667));6750
POLYGON ((151 44.6666666666667,151 45.3333333333333,152 45.3333333333333,152 44.6666666666667,151 44.6666666666667));6751
POLYGON ((152 44.6666666666667,152 45.3333333333333,153 45.3333333333333,153 44.6666666666667,152 44.6666666666667));6752
POLYGON ((153 44.6666666666667,153 45.3333333333333,154 45.3333333333333,154 44.6666666666667,153 44.6666666666667));6753
POLYGON ((154 44.6666666666667,154 45.3333333333333,,,154 44.6666666666667));6754
POLYGON ((122 44,122 44.6666666666667,123 44.6666666666667,123 44,122 44));6622
POLYGON ((123 44,123 44.6666666666667,124 44.6666666666667,124 44,123 44));6623
POLYGON ((124 44,124 44.6666666666667,125 44.6666666666667,125 44,124 44));6624
POLYGON ((125 44,125 44.6666666666667,126 44.6666666666667,126 44,125 44));6625
POLYGON ((126 44,126 44.6666666666667,127 44.6666666666667,127 44,126 44));6626
POLYGON ((127 44,127 44.6666666666667,128 44.6666666666667,128 44,127 44));6627
POLYGON ((128 44,128 44.6666666666667,129 44.6666666666667,129 44,128 44));6628
POLYGON ((129 44,129 44.6666666666667,130 44.6666666666667,130 44,129 44));6629
POLYGON ((130 44,130 44.6666666666667,131 44.6666666666667,131 44,130 44));6630
POLYGON ((131 44,131 44.6666666666667,132 44.6666666666667,132 44,131 44));6631
POLYGON ((132 44,132 44.6666666666667,133 44.6666666666667,133 44,132 44));6632
POLYGON ((133 44,133 44.6666666666667,134 44.6666666666667,134 44,133 44));6633
POLYGON ((134 44,134 44.6666666666667,135 44.6666666666667,135 44,134 44));6634
POLYGON ((135 44,135 44.6666666666667,136 44.6666666666667,136 44,135 44));6635
POLYGON ((136 44,136 44.6666666666667,137 44.6666666666667,137 44,136 44));6636
POLYGON ((137 44,137 44.6666666666667,138 44.6666666666667,138 44,137 44));6637
POLYGON ((138 44,138 44.6666666666667,139 44.6666666666667,139 44,138 44));6638
POLYGON ((139 44,139 44.6666666666667,140 44.6666666666667,140 44,139 44));6639
POLYGON ((140 44,140 44.6666666666667,141 44.6666666666667,141 44,140 44));6640
POLYGON ((141 44,141 44.6666666666667,142 44.6666666666667,142 44,141 44));6641
POLYGON ((142 44,142 44.6666666666667,143 44.6666666666667,143 44,142 44));6642
POLYGON ((143 44,143 44.6666666666667,144 44.6666666666667,144 44,143 44));6643
POLYGON ((144 44,144 44.6666666666667,145 44.6666666666667,145 44,144 44));6644
POLYGON ((145 44,145 44.6666666666667,146 44.6666666666667,146 44,145 44));6645
POLYGON ((146 44,146 44.6666666666667,147 44.6666666666667,147 44,146 44));6646
POLYGON ((147 44,147 44.6666666666667,148 44.6666666666667,148 44,147 44));6647
POLYGON ((148 44,148 44.6666666666667,149 44.6666666666667,149 44,148 44));6648
POLYGON ((149 44,149 44.6666666666667,150 44.6666666666667,150 44,149 44));6649
POLYGON ((150 44,150 44.6666666666667,151 44.6666666666667,151 44,150 44));6650
POLYGON ((151 44,151 44.6666666666667,152 44.6666666666667,152 44,151 44));6651
POLYGON ((152 44,152 44.6666666666667,153 44.6666666666667,153 44,152 44));6652
POLYGON ((153 44,153 44.6666666666667,154 44.6666666666667,154 44,153 44));6653
POLYGON ((154 44,154 44.6666666666667,,,154 44));6654
POLYGON ((122 43.3333333333333,122 44,123 44,123 43.3333333333333,122 43.3333333333333));6522
POLYGON ((123 43.3333333333333,123 44,124 44,124 43.3333333333333,123 43.3333333333333));6523
POLYGON ((124 43.3333333333333,124 44,125 44,125 43.3333333333333,124 43.3333333333333));6524
POLYGON ((125 43.3333333333333,125 44,126 44,126 43.3333333333333,125 43.3333333333333));6525
POLYGON ((126 43.3333333333333,126 44,127 44,127 43.3333333333333,126 43.3333333333333));6526
POLYGON ((127 43.3333333333333,127 44,128 44,128 43.3333333333333,127 43.3333333333333));6527
POLYGON ((128 43.3333333333333,128 44,129 44,129 43.3333333333333,128 43.3333333333333));6528
POLYGON ((129 43.3333333333333,129 44,130 44,130 43.3333333333333,129 43.3333333333333));6529
POLYGON ((130 43.3333333333333,130 44,131 44,131 43.3333333333333,130 43.3333333333333));6530
POLYGON ((131 43.3333333333333,131 44,132 44,132 43.3333333333333,131 43.3333333333333));6531
POLYGON ((132 43.3333333333333,132 44,133 44,133 43.3333333333333,132 43.3333333333333));6532
POLYGON ((133 43.3333333333333,133 44,134 44,134 43.3333333333333,133 43.3333333333333));6533
POLYGON ((134 43.3333333333333,134 44,135 44,135 43.3333333333333,134 43.3333333333333));6534
